1,1.4958,1.6459,1.4927,1.6500
2,1.4962,1.6459,1.4958,1.6474
3,1.4954,1.6464,1.4935,1.6489
4,1.4966,1.6474,1.4970,1.6545
5,1.4958,1.6474,1.4950,1.6520
6,1.4958,1.6469,1.4927,1.6500
7,1.4962,1.6474,1.4958,1.6494
8,1.4958,1.6484,1.4927,1.6479
9,1.4962,1.6469,1.4931,1.6510
10,1.4958,1.6459,1.4958,1.6469
11,1.4962,1.6464,1.4954,1.6484
12,1.4958,1.6464,1.4935,1.6484
13,1.4962,1.6454,1.4998,1.6469
14,1.4966,1.6464,1.4962,1.6469
15,1.4958,1.6464,1.4927,1.6500
16,1.4966,1.6469,1.4974,1.6500
17,1.4962,1.6454,1.4966,1.6474
18,1.4966,1.6464,1.4927,1.6474
19,1.4966,1.6464,1.4943,1.6510
20,1.4962,1.6454,1.4943,1.6474
21,1.4958,1.6454,1.4950,1.6464
22,1.4962,1.6474,1.4978,1.6510
23,1.4954,1.6459,1.4935,1.6489
24,1.4962,1.6459,1.4962,1.6494
25,1.4962,1.6449,1.4935,1.6479
26,1.4958,1.6469,1.4950,1.6479
27,1.4962,1.6464,1.4943,1.6489
28,1.4966,1.6449,1.4943,1.6489
29,1.4966,1.6459,1.4974,1.6484
30,1.4962,1.6459,1.4954,1.6489
31,1.4958,1.7464,1.4943,1.7536
32,1.4958,1.7469,1.4943,1.7469
33,1.4962,1.7459,1.4966,1.7549
34,1.4966,1.7469,1.4943,1.7469
35,1.4958,1.7469,1.4931,1.7474
36,1.4962,1.7459,1.4943,1.7474
37,1.4962,1.7474,1.4950,1.7494
38,1.4966,1.7479,1.4947,1.7536
39,1.4966,1.7474,1.4943,1.7506
40,1.4966,1.7474,1.4935,1.7489
41,1.4966,1.7454,1.4927,1.7524
42,1.4962,1.7459,1.5005,1.7500
43,1.4962,1.7464,1.4954,1.7489
44,1.4962,1.7454,1.4927,1.7474
45,1.4962,1.7474,1.4958,1.7489
46,1.4962,1.7484,1.4958,1.7494
47,1.4962,1.7464,1.4954,1.7479
48,1.4962,1.7484,1.4954,1.7506
49,1.4958,1.7474,1.4950,1.7500
50,1.4958,1.7474,1.4939,1.7464
51,1.4962,1.7469,1.4970,1.7518
52,1.4958,1.7454,1.4935,1.7494
53,1.4962,1.7464,1.4962,1.7494
54,1.4966,1.7464,1.4962,1.7500
55,1.4966,1.7474,1.4966,1.7524
56,1.4962,1.7469,1.4950,1.7506
57,1.4962,1.7464,1.4943,1.7484
58,1.4962,1.7469,1.4947,1.7474
59,1.4962,1.7464,1.4986,1.7530
60,1.4962,1.7464,1.4931,1.7479
61,1.4962,1.8469,1.4958,1.8481
62,1.4962,1.8475,1.4935,1.8512
63,1.4962,1.8493,1.4970,1.8493
64,1.4966,1.8500,1.4958,1.8536
65,1.4958,1.8487,1.4935,1.8555
66,1.4962,1.8493,1.4950,1.8579
67,1.4958,1.8469,1.4947,1.8493
68,1.4958,1.8475,1.4966,1.8506
69,1.4962,1.8469,1.4962,1.8506
70,1.4966,1.8463,1.4950,1.8487
71,1.4962,1.8487,1.4927,1.8493
72,1.4962,1.8493,1.4966,1.8524
73,1.4966,1.8481,1.4962,1.8512
74,1.4962,1.8481,1.4927,1.8487
75,1.4962,1.8469,1.4950,1.8506
76,1.4962,1.8469,1.4962,1.8493
77,1.4962,1.8481,1.4966,1.8493
78,1.4962,1.8463,1.4978,1.8518
79,1.4962,1.8481,1.4966,1.8487
80,1.4958,1.8469,1.4935,1.8481
81,1.4958,1.8475,1.4931,1.8506
82,1.4962,1.8457,1.4943,1.8500
83,1.4966,1.8487,1.4994,1.8561
84,1.4966,1.8493,1.4927,1.8549
85,1.4962,1.8481,1.4962,1.8512
86,1.4966,1.8469,1.4966,1.8530
87,1.4962,1.8469,1.4947,1.8530
88,1.4958,1.8481,1.4950,1.8493
89,1.4966,1.8469,1.4970,1.8475
90,1.4958,1.8481,1.4927,1.8518
91,1.4962,1.6982,1.4927,1.6992
92,1.4958,1.6987,1.4935,1.7017
93,1.4958,1.6987,1.4958,1.7007
94,1.4958,1.6967,1.4931,1.6992
95,1.4962,1.6982,1.4966,1.7002
96,1.4962,1.6987,1.4943,1.7022
97,1.4958,1.6982,1.4927,1.7022
98,1.4958,1.6987,1.4935,1.7022
99,1.4958,1.6982,1.4947,1.6992
100,1.4958,1.6997,1.4954,1.7038
101,1.4962,1.6997,1.4966,1.7007
102,1.4962,1.7002,1.4931,1.7068
103,1.4958,1.6992,1.4935,1.7022
104,1.4966,1.6967,1.4927,1.6987
105,1.4958,1.6982,1.4927,1.7002
106,1.4958,1.6977,1.4954,1.6982
107,1.4962,1.6992,1.4958,1.7032
108,1.4958,1.6977,1.4931,1.7012
109,1.4966,1.6982,1.4931,1.7012
110,1.4966,1.6997,1.4958,1.7007
111,1.4958,1.7007,1.4935,1.7078
112,1.4958,1.6977,1.4935,1.6987
113,1.4970,1.6982,1.5005,1.6956
114,1.4966,1.6982,1.4990,1.6946
115,1.4962,1.6987,1.4935,1.6936
116,1.4966,1.6972,1.4982,1.6951
117,1.4962,1.6967,1.4966,1.6931
118,1.4966,1.6967,1.4970,1.6946
119,1.4962,1.6977,1.4994,1.6982
120,1.4962,1.6977,1.4974,1.6961
121,1.4962,1.7966,1.4943,1.7960
122,1.4958,1.7966,1.4943,1.7984
123,1.4966,1.7978,1.4982,1.8033
124,1.4966,1.7978,1.4939,1.8021
125,1.4962,1.8003,1.4962,1.8052
126,1.4962,1.7996,1.4950,1.8033
127,1.4958,1.7972,1.4943,1.8003
128,1.4962,1.7972,1.4966,1.8009
129,1.4962,1.7978,1.4978,1.8015
130,1.4962,1.7984,1.4939,1.8027
131,1.4962,1.7972,1.4990,1.7990
132,1.4966,1.7984,1.4943,1.8039
133,1.4962,1.8015,1.4962,1.8027
134,1.4962,1.8003,1.4943,1.7978
135,1.4966,1.7990,1.4970,1.7953
136,1.4962,1.8003,1.4986,1.8003
137,1.4958,1.7984,1.4954,1.7947
138,1.4958,1.7978,1.5005,1.7953
139,1.4966,1.7996,1.4994,1.7978
140,1.4962,1.7984,1.4978,1.7953
141,1.4962,1.7984,1.4950,1.7984
142,1.4962,1.7996,1.4966,1.8015
143,1.4958,1.7990,1.4970,1.7960
144,1.4962,1.7990,1.4974,1.7990
145,1.4966,1.7984,1.4990,1.7966
146,1.4958,1.7990,1.4970,1.7966
147,1.4966,1.7990,1.4974,1.8003
148,1.4966,1.7990,1.4990,1.7990
149,1.4962,1.8015,1.4994,1.8003
150,1.4958,1.7996,1.4966,1.7972
